step,azimuth,altitude
0,178.97576264785624,37.03729658726684
1,178.30599748408875,37.54231400645379
2,177.6693849120646,38.22723158273261
3,177.07575455582614,39.085624272278125
4,176.5360257089572,40.108853340433086
5,176.06126763512907,41.286640319790294
6,175.6607326898718,42.60733400542448
7,175.33932747621574,44.05864949095615
8,175.10031373560184,45.62824135904653
9,174.94752007727192,47.3025241079343
10,174.88546199205848,49.06675806883108
11,174.9199669331821,50.90576819714581
12,175.05328936701974,52.80423351281194
13,175.28401664939383,54.74786332046561
14,175.60869566321034,56.722785287435045
15,176.02463609939275,58.71457959129504
16,176.5301567362608,60.70844585848419
17,177.12488071108748,62.68977096180016
18,177.80363720101363,64.64477537702462
19,178.55538284123747,66.56129031438356
20,179.36532189966218,68.42757933302138
21,180.21686853897234,70.2316709271907
22,181.09216476293648,71.96164064415741
23,181.97215453439725,73.60597577571427
24,182.82455428308296,75.15456636801639
25,183.60158663786913,76.59868602770807
26,184.24210480973017,77.92970383490004
27,184.6753590829433,79.13857023452734
28,184.82596210481003,80.21611084058858
29,184.61921250555008,81.1530207918618
30,183.97823913430668,81.9406887031682
31,182.8457155266364,82.57051525319146
32,181.22161198925602,83.03343319635951
33,179.20411070031943,83.32116935034954
34,177.00311727425498,83.42865757945408
35,174.89292960086786,83.3553806578725
36,173.1098843874494,83.1055520623942
37,171.81057566559087,82.68623238447842
38,171.0528002061387,82.10547296790774
39,170.82108926672495,81.37214691482275
40,171.053473566987,80.49551088839851
41,171.66018623294258,79.48403582973013
42,172.53522783186745,78.34510536659906
43,173.58515094619776,77.08533037423148
44,174.73268393667897,75.71128110165024
45,175.92572525904785,74.23121597058702
46,177.12762644389068,72.65454134054627
47,178.30870560816817,70.99088076596699
48,179.4430226410198,69.24990079285523
49,180.50715043543462,67.4411248313332
50,181.48590556778277,65.57502523093721
51,182.3736802940804,63.66387001410699
52,183.1679278216744,61.7206705702579
53,183.8649476467162,59.75849587206401
54,184.46045755466074,57.79026383203766
55,184.9494950049233,55.82853723163427
56,185.3294746532242,53.88706698817861
57,185.6023639113852,51.98066609704849
58,185.77194446576007,50.12427132742543
59,185.84125585860386,48.33252599349491
60,185.81148284132044,46.61947051039898
61,185.68304101324927,44.99859780231362
62,185.45930030973722,43.48411409555826
63,185.14721927120112,42.08998322702636
64,184.75525406164874,40.82930816915346
65,184.2917476730113,39.714138997522774
66,183.76356569026606,38.754903685401594
67,183.1771109542906,37.96102841902475
68,182.54169584143213,37.341174824172164
69,181.86993005686864,36.90204762041204
70,181.17497785302484,36.64844831248467
71,180.4698944864,36.58312856884509
72,179.76487544683036,36.70664614307204
