step,azimuth,altitude
0,206.59976805176728,48.47212790615312
1,204.8240051768523,46.31453199828483
2,203.00943624151122,44.25434013614083
3,201.15002338388163,42.321998366975
4,199.24424901892263,40.54761623195198
5,197.29489112769497,38.96027323220065
6,195.3098268380332,37.58695745782843
7,193.2987303607207,36.45225795851873
8,191.27787606609292,35.576359848001196
9,189.26556464242313,34.975046833283955
10,187.2828235118603,34.65874104027347
11,185.3523284696534,34.632130136032686
12,183.4974635198016,34.89404894434206
13,181.74128537637722,35.437669016216454
14,180.10644936194095,36.25094984094035
15,178.61331011154633,37.3173664606037
16,177.28028935703642,38.61669904356451
17,176.12384783165155,40.12594273927617
18,175.15823050390964,41.82018034668038
19,174.39607777605593,43.673399527349815
20,173.84870901703525,45.65917383470124
21,173.52680066848217,47.75121748279132
22,173.44096553372478,49.92378521706013
23,173.60284629195192,52.15196314210755
24,174.02544406839058,54.41178437461824
25,174.7241415038326,56.68028565419882
26,175.7175423071817,58.935462345824895
27,177.0285285852805,61.15616105679088
28,178.68432489434622,63.321894455073945
29,180.71728318686925,65.41266794737241
30,183.16462740242434,67.40878300625208
31,186.06724885550875,69.29067576796236
32,189.46611675739803,71.03887137992736
33,193.395871312455,72.63417224402939
34,197.87549779127272,74.05813740285998
35,202.89162713535575,75.29429231892306
36,208.38383066939124,76.32969258208475
37,214.22835774070268,77.15737228207978
38,220.23833508165018,77.7783100392584
39,226.1779117710558,78.20301271875407
40,231.7973309521904,78.45090596372944
41,236.8724100827389,78.5477340595869
42,241.2345403085113,78.52129520361383
43,244.77820544850658,78.39800969366654
44,247.4585644938577,78.19867384960743
45,249.273737275713,77.93792413623613
46,250.25475895530965,77.6224775955347
47,250.45446816179222,77.25201070207082
48,249.943280946302,76.81971248526646
49,248.80638797123376,76.31384305515266
50,247.14209940669866,75.7193662930098
51,245.0592196377402,75.01963897533507
52,242.67102570512742,74.19864831616269
53,240.0879259386751,73.24276004044206
54,237.4105125266656,72.14172516233256
55,234.72187685349166,70.88996816572823
56,232.0858501251165,69.48610177031621
57,229.54395612592305,67.93363843065066
58,227.1187333650613,66.24003017012973
59,224.81700446260504,64.41621810633379
60,222.6336030852086,62.47622474257232
61,220.55509731594708,60.436772286388646
62,218.56348289092296,58.3168208509237
63,216.63810109728126,56.13756567204771
64,214.75796443017603,53.9221374777521
65,212.90276851617944,51.69559295792065
66,211.0543272464605,49.484615462351
