step,azimuth,altitude
0,311.2643084270282,-46.862217381436544
1,312.48653598401876,-47.67036015552735
2,313.75307013239825,-48.46895574115197
3,315.06530308978546,-49.25649904113116
4,316.42577791391574,-50.032027888562496
5,317.8362583205545,-50.79410363173644
6,319.2992214099538,-51.54155894028033
7,320.8169588895284,-52.27305132933879
8,322.39140958823384,-52.987033170884985
9,324.0245883060211,-53.681950800676475
10,325.7185550875861,-54.356226943066005
11,327.4750082288033,-55.00813313013611
12,329.29522903981865,-55.63581479366693
13,331.1795739420658,-56.23720470562464
14,333.13065124106544,-56.81085370816932
15,335.1478084292243,-57.35450310690445
16,337.23112050111433,-57.866178322650875
17,339.3799492035871,-58.34384219643205
18,341.5922330452285,-58.78533242342649
19,343.86621976161723,-59.188692004379654
20,346.19939792594903,-59.55197902188155
21,348.5869553556445,-59.87316513469349
22,351.02513409964166,-60.15053829044566
23,353.5078631030004,-60.38238650662805
24,356.02942389846146,-60.567249520143534
25,358.58256467647703,-60.70382053287895
26,1.1593858935549197,-60.791044757915714
27,3.7524676981209946,-60.82811800421546
28,6.353098949406613,-60.8145031014078
29,8.951533096064846,-60.75002873146987
30,11.541602355651577,-60.63460030590612
31,14.114051152184047,-60.46857046314464
32,16.660307747056724,-60.25260197077961
33,19.173824081922625,-59.9874450211587
34,21.647496193025063,-59.674216815934095
35,24.07556917042683,-59.31415453862858
36,26.452198664147474,-58.90884272474913
37,28.773900975653564,-58.45970616099882
38,31.03547434919027,-57.96887699029017
39,33.23682426252632,-57.43749504781512
40,35.374435935022056,-56.86781451934781
41,37.44724996597715,-56.261685731734424
42,39.45523704284768,-55.62080625284763
43,41.39770470986235,-54.947293930309
44,43.27551025958604,-54.24286167605387
45,45.08974938847915,-53.50921886875347
46,46.8411963262195,-52.74832716758669
47,48.531771814995906,-51.96169210795174
48,50.16301145635037,-51.15103961377191
49,51.7371171981418,-50.31775604962827
50,53.25584318761738,-49.463470936772374
51,54.72142254839524,-48.58951358628433
52,56.13605244246908,-47.69717896228553
53,57.502049376398666,-46.78760754660976
54,58.82122270793962,-45.862232827483304
55,60.09588210940933,-44.92204706856824
56,61.328123097966206,-43.96809834167388
57,62.52003972186999,-43.00132678250695
58,63.673548552208864,-42.02271214685441
59,64.79056614916784,-41.033123192224835
60,65.87293650600374,-40.033376940255444
61,66.92238911684444,-39.024281828571574
62,67.9406577913603,-38.00652048552657
63,68.92930856963429,-36.98082783697931
64,69.8898792839913,-35.94785319939073
65,70.82397800993257,-34.90804125816564
66,71.73269413263247,-33.862320977803705
67,72.61762665640683,-32.810914015872044
68,73.48001172008397,-31.75435173758965
69,74.3209465945394,-30.69324009580942
70,75.14133918878916,-29.628342528700575
71,75.94263501812124,-28.559612344953234
72,76.72575859511423,-27.487585287057478
73,77.49161445627387,-26.4127436603259
74,78.24120491748361,-25.335343390151202
75,78.97527264589576,-24.25592917748677
