step,azimuth,altitude
0,237.5339783567517,45.42043109546342
1,220.83087551377426,55.02555111162091
2,196.18743202045272,61.218690098310546
3,166.04104458511165,61.64699934308399
4,140.3128304073382,56.10056811154018
5,122.67607085078778,46.8511242366997
6,110.54296312024734,35.803005095597484
7,101.38808716764143,23.91052699602153
8,93.71030369730728,11.651897353865934
9,86.58615873016093,-0.2432171511012974
10,79.30986265799937,-13.221726767914804
11,71.1477183279686,-25.305802686737124
12,61.096200015050336,-36.785071752352046
13,47.58314800672311,-47.06829058070555
14,28.422708365188065,-55.00367873890973
15,2.8485609006747485,-58.6973678796213
16,336.0210129807934,-56.68653526219682
17,314.7113940968429,-49.824829982906856
18,299.59517242944344,-40.099519295210634
19,288.51643262614476,-28.90553403011845
20,279.66579792740293,-16.978029938112634
21,271.87633539158367,-4.652956336721111
22,264.32611812624276,7.736453469734623
23,256.2751601470925,19.850022244079764
24,246.83361988905048,31.5608317868197
25,234.6949057093374,42.344277918646405
26,217.9386841549574,51.28449848937136
27,194.94894622041426,56.76787850459894
28,168.265756383577,56.97781103674409
29,144.84096946667722,51.818777108038326
30,127.68365540517073,43.04478857883946
31,115.32585978614267,32.318269619883075
32,105.81350992570037,20.596510544610766
33,97.80250074415207,8.417339964691582
34,90.38926294854757,-3.9427196239331925
35,82.84017184542734,-16.55578623402765
36,74.35412127404493,-28.72185124985728
37,63.78097657752033,-40.27337754832628
38,49.22925936376608,-50.53958935094059
39,28.032856212670644,-58.15814194969358
40,359.8999498515565,-60.91469388039617
41,332.3156599258639,-57.5347018870053
42,312.01826444238066,-49.54161045418266
43,298.13870289946493,-39.09237994088754
44,288.0489459001018,-27.447340203854363
45,279.9721033517907,-15.218655793127937
46,272.8371835709096,-2.12518791098539
47,265.8998792998336,9.911946179571592
48,258.4749705663016,22.2830713452363
