step,azimuth,altitude
0,340.26602365797527,41.345367543594776
1,344.5891901790927,40.962845907761626
2,348.8724763893669,40.418158247418994
3,353.0973634730602,39.71440606593988
4,357.2481418412368,38.85620975247522
5,1.3120415853602492,37.84926668762273
6,5.2795357294329355,36.700154720618826
7,9.144209012887066,35.41609919997222
8,12.902700708041445,34.00464943669357
9,16.554268129223665,32.47350483852556
10,20.100315148464905,30.82993658227555
11,23.54392959432608,29.082167784882856
12,26.889568647386312,27.238049147585837
13,30.142580617050896,25.305523274317316
14,33.309023901151946,23.292594524500235
15,36.395628724496504,21.20719346957051
16,39.409735002894294,19.05710288619522
17,42.35913290730878,16.85007548001171
18,45.2519744346886,14.593828203608474
19,48.09670076867161,12.296248451146122
20,50.90187291323507,9.96568285032765
21,53.67632943158838,7.6124657803611155
22,56.42885911341964,5.25140188644663
23,59.16857962238584,2.9125641708431167
24,61.90478377035602,0.6812382020639224
25,64.64696541930019,-1.4881176197369033
26,67.40482110737403,-4.5705293422153
27,70.1882396805359,-7.085339022276578
28,73.00725086395056,-9.511886772098746
29,75.87171261422029,-11.920007950653948
30,78.79145244592519,-14.302199318921835
31,81.77571027220712,-16.651298521798612
32,84.83584887220874,-18.956208491283093
33,87.98051790620345,-21.209694188394234
34,91.21978550407131,-23.401651142002287
35,94.5627617043706,-25.522584304065894
36,98.01851207158408,-27.561544447555487
37,101.5946660257333,-29.508163870402296
38,105.29816597369746,-31.350713959469417
39,109.13394286208873,-33.0777788790199
40,113.10483145076661,-34.67775827105772
41,117.2111103146254,-36.139202188494565
42,121.45007558568366,-37.45059004502797
43,125.81516600171727,-38.601064626151924
44,130.2953449221425,-39.580844949638404
45,134.87494861326095,-40.3808606130698
46,139.53361916272218,-40.993860196396184
47,144.24683179818868,-41.41452706030266
48,148.9868478034521,-41.63972338110196
49,153.72417585152837,-41.669157939199216
50,158.42911403704147,-41.505114988669014
51,163.0732412433023,-41.15247730509061
52,167.63083606669602,-40.61851082950236
53,172.07994737125827,-39.912498627755184
54,176.40288706035275,-39.04522404372036
55,180.58679795353063,-38.02857708578837
56,184.62353227512332,-36.87496752890402
57,188.50947097651326,-35.596887642269145
58,192.2449236077306,-34.20647135488811
59,195.83333502455355,-32.71524680740951
60,199.28054689291002,-31.13398972416107
61,202.59391338094105,-29.47263808325447
62,205.78170919610125,-27.74054116362459
63,208.8526824838874,-25.946004015905363
64,211.81600185446655,-24.097165010867826
65,214.68080543623813,-22.201143530781476
66,217.4560481493187,-20.264522909274223
67,220.15053218304877,-18.29350162084191
68,222.77271371404984,-16.29365352442421
69,225.33071717870772,-14.270246318918861
70,227.83238143059108,-12.228364317466331
71,230.28497999134714,-10.172404401567967
72,232.69581833680923,-8.106762433845034
73,235.07207278916923,-6.035341795866313
74,237.42093434729497,-3.735647739095702
75,239.74955920872185,-1.1547240382658095
76,242.0651947220916,0.6329895206757986
77,244.3749313532154,2.5097581044409867
78,246.6859711492392,4.480750977011061
79,249.00523996730118,6.481230596345195
80,251.3396643240549,8.48663489026087
81,253.69623122146774,10.485472748774992
82,256.0816623509048,12.471285114381885
83,258.5031274138056,14.438620549273613
84,260.9673164118619,16.383237850064067
85,263.48127753165414,18.300257428175048
86,266.05151860902873,20.18540706849195
87,268.6847886645314,22.03375809642639
88,271.3878089190609,23.84005187704979
89,274.16721047158416,25.599134196306338
90,277.03000025670434,27.305276554667387
91,279.98308776315747,28.952878863723033
92,283.033260626635,30.536167927763437
93,286.18727474671266,32.048330616462444
94,289.4510729345159,33.48258570654589
95,292.8297641562959,34.83142442111868
96,296.3271387030612,36.08707379462522
97,299.94539166819226,37.24130047908305
98,303.68461682175126,38.28558417282562
99,307.5424117644813,39.21104947924354
100,311.5133731439682,40.00892836480933
101,315.5887888162632,40.67063603486814
102,319.756346482259,41.188211463003
103,324.0001752520576,41.55428166978994
104,328.3015595914123,41.76298405535072
105,332.639676795726,41.80985165677435
106,336.9925960625321,41.69222865551356
