step,azimuth,altitude
0,249.07229074883617,25.670597785730024
1,247.66222602800056,25.183253867846055
2,246.25053366319892,24.70343789174294
3,244.83739729616164,24.23510763368294
4,243.4232721520513,23.78197311693172
5,242.00856745016077,23.347890552303088
6,240.59377450044514,22.936533204989118
7,239.17915535312912,22.55194517007598
8,237.76534409474678,22.197791280408858
9,236.35325141832158,21.877473283506575
10,234.9437175020687,21.594547802708963
11,233.53752482628175,21.35253923471656
12,232.13605395777162,21.154431001925843
13,230.74013403475138,21.003748094352147
14,229.35136746211217,20.903132461800677
15,227.97143025736918,20.855132565466032
16,226.60188778804854,20.862249939281124
17,225.24455836082572,20.92663461919362
18,223.9014976103172,21.050083207267487
19,222.57465772423745,21.234201918675442
20,221.26606575629836,21.480325889528086
21,219.97765117870702,21.789574471008386
22,218.71231045897187,22.16205255117238
23,217.47180621467913,22.598396548315108
24,216.25850477003942,23.098445941531374
25,215.07430153610778,23.662023688445423
26,213.92161642892992,24.288260672739423
27,212.80175849472442,24.976582941676117
28,211.71758776137494,25.72518250597423
29,210.67021599622436,26.53290014379184
30,209.66230063473188,27.397444649051383
31,208.6944699492855,28.317232265310658
32,207.76813710819238,29.289996482967116
33,206.88414192816515,30.31345799966444
34,206.0436643458338,31.384925582103136
35,205.2476500076345,32.50161741192752
36,204.49638573652356,33.660797340941805
37,203.7899813982941,34.85964421997508
38,203.12984938465326,36.094766791966244
39,202.5155739695323,37.363248820392485
40,201.94683345332857,38.662085055846845
41,201.42381386030695,39.988045981056786
42,200.946177286112,41.33802775457047
43,200.51288417737408,42.70907571836675
44,200.12381661874744,44.09794800900181
45,199.77807906247835,45.50168756459608
46,199.4748058143661,46.91733062503102
47,199.21204032469566,48.34212886006315
48,198.990548925975,49.772863020725126
49,198.80707020042996,51.20713902250355
50,198.66041038203267,52.64224579548691
51,198.54916791568587,54.07555705543122
52,198.47061909773367,55.50466326628618
53,198.42232088711611,56.92723036085918
54,198.4025294578943,58.340842747585704
55,198.40813182740018,59.743347619846865
56,198.4349121187779,61.13278719094172
57,198.47969146932508,62.50702644296128
58,198.53671480193665,63.86437368750734
59,198.60183719247576,65.20289360043218
60,198.6682900611362,66.52090750915076
61,198.72742578498142,67.81693548664173
62,198.77231693060904,69.08917133698817
63,198.7908990870097,70.33627387754314
64,198.77131011584245,71.55664880207607
65,198.6969902169162,72.74882754115488
66,198.54895282136053,73.91126239674131
67,198.3050576775812,75.04219231615721
68,197.93616381693704,76.13982259499622
69,197.40686673449517,77.20207356695258
70,196.67365199747246,78.22643737855078
71,195.67878663425134,79.21012886109963
72,194.35505009363098,80.14936971118794
73,192.61321083588143,81.03956808035784
74,190.34544952986812,81.87467789443153
75,187.42328262642346,82.64673422405961
76,183.69843316546726,83.34540530489191
77,179.0285316051051,83.95736564330127
78,173.3077106845883,84.46640009705295
79,166.54955172024822,84.85471742723016
80,158.94901724411912,85.1058912178521
81,150.93430910500516,85.2100512111937
82,143.06753731493222,85.16782398343058
83,135.8875936609795,84.99193346357212
84,129.73793618375012,84.70264312151848
85,124.7439992736342,84.32299438525263
86,120.86320601011022,83.87386425750441
87,117.96691337346452,83.37181185034937
88,115.90613698496878,82.82995123370824
89,114.53418726580607,82.25702152336726
90,113.72459474116242,81.65910292305996
91,113.37240066188498,81.04025564064568
92,113.39169074422408,80.40288391522549
93,113.71255867977123,79.74819606867615
94,114.27814857810476,79.07662353095323
95,115.04212055478237,78.38808481953559
96,115.96597009939987,77.68204257720622
97,117.01775261887764,76.95769855067978
98,118.17080815305304,76.21417547522624
99,119.40131080938485,75.45013348928802
100,120.69505932010411,74.66636630174924
101,122.02544794661391,73.85836867813742
102,123.3830159687477,73.02692485659578
103,124.75525932476138,72.17115380125034
104,126.1314704884991,71.29039225916274
105,127.50200729487715,70.38387739597628
106,128.85879823529785,69.45111938927631
107,130.19455938483057,68.49170993082141
108,131.5031570648067,67.50541457445746
109,132.77907260213456,66.4921143498169
110,134.01807105461816,65.4519562963503
111,135.21555379754258,64.38492085347094
112,136.36846450676734,63.29153830970157
113,137.47392300056865,62.17228597027081
114,138.52932882318217,61.027761890118896
115,139.53257246227201,59.85873800263261
116,140.482070966875,58.666191431037525
117,141.37616210374756,57.45117396519232
118,142.21370012276628,56.21486097067834
119,142.99330309922667,54.9584434565974
120,143.7143865964593,53.683501496298305
121,144.37602032137832,52.3915180510674
122,144.97739351759634,51.084134986340885
