step,azimuth,altitude
0,81.42928248909128,-14.51409133059798
1,87.53300274246808,-4.164983209103867
2,93.50339648637417,6.122425060596447
3,99.65855058694142,16.198630773314214
4,106.33379517002199,25.94415529491162
5,113.90285520665316,35.027755297342516
6,122.75916754442738,43.11089124743963
7,133.18671106326266,49.819439021772475
8,145.03158651239346,54.81040269101451
9,157.2889318839137,57.94202200051836
10,168.1806490710358,59.457134985253916
11,176.0353667749711,59.94194386746976
12,180.12643087081656,60.01285183744029
13,180.86123931040166,60.021963364497594
14,179.6808949334966,60.034363980211594
15,178.71201053273444,60.03454442451472
16,180.00194814523243,60.042156574426706
17,184.8164157820637,59.95173777406504
18,193.36126782311516,59.34942479697227
19,204.7039866812726,57.59304779836314
20,217.06271824562742,54.13779512001307
21,228.74044226261844,48.817402188899244
22,238.90257472690337,41.82873027928817
23,247.51192421210146,33.532553402539044
24,254.89488885924385,24.300166176354274
25,261.4494788735342,14.46371505939943
26,267.54355815941216,4.375777696530081
27,273.5076529979499,-6.106629920098923
28,279.6595616731865,-16.26648298846896
29,286.33499685098764,-26.03375161501459
30,293.9088218477902,-35.124983905377704
31,302.7762120831416,-43.20828569502765
32,313.22222679038885,-49.910389144684494
33,325.0899835262031,-54.88784521485051
34,337.36425144661433,-57.99936245700194
35,348.2547735706899,-59.49040933060141
36,356.0882337624328,-59.950243974389736
37,0.14829061662970563,-59.996538045900145
38,0.857941011277202,-59.98199275803185
39,359.6710463883064,-59.97441023162636
40,358.7155189708731,-59.962562020920586
41,0.02931887472841133,-59.967490244645006
42,4.867740333369226,-59.8804100719677
43,13.431322378484547,-59.28236208862017
44,24.78586133331458,-57.52756154373045
45,37.149870378988,-54.07019456283918
46,48.82852194831168,-48.74479243057872
47,58.98995679254484,-41.74921120874169
48,67.59886349391803,-33.444274842963104
49,74.9825965271377,-24.19921832522281
