latitude,step,azimuth,altitude
0.0,0,90.02074794120101,-16.80904458050163
0.0,1,90.02436044904093,-4.961957413350234
0.0,2,90.02816024925585,7.053303325892642
0.0,3,90.03259105918696,18.793097210196375
0.0,4,90.03812568032568,30.352885944025342
0.0,5,90.04536586626108,41.526894401599826
0.0,6,90.05517125713834,52.12615022879578
0.0,7,90.06885647680143,61.93749661586307
0.0,8,90.08852283859264,70.71396969921577
0.0,9,90.11748319703948,78.17482185556847
0.0,10,90.15971788500345,84.02523766227227
0.0,11,90.19767990461723,88.01537374123075
0.0,12,274.27363012865436,89.93663569910646
0.0,13,272.21229165067393,89.56935701607112
0.0,14,80.516573147292,89.83840690855095
0.0,15,87.0935115314462,89.35588537489876
0.0,16,358.3584667312221,89.96602872807671
0.0,17,270.741918618696,87.59019149025073
0.0,18,270.2184372720491,83.23418086044363
0.0,19,270.0842478565211,77.05694734677726
0.0,20,270.0326290697795,69.32419819237296
0.0,21,270.0085753103547,60.331121332904914
0.0,22,269.9958443750715,50.35270404146764
0.0,23,269.98830049064105,39.62917636450763
0.0,24,269.98323003757054,28.368033859402622
0.0,25,269.9792731672139,16.755684952256896
0.0,26,269.97565329673625,5.022376455501238
0.0,27,269.9718444508193,-7.039239446665927
0.0,28,269.9674021444614,-18.85176901646882
0.0,29,269.9618527803696,-30.42835273163165
0.0,30,269.9545928474451,-41.60725232144915
0.0,31,269.9447600759398,-52.205940242482924
0.0,32,269.9310338625578,-62.01295788690663
0.0,33,269.9113092247157,-70.78175943641378
0.0,34,269.882255787894,-78.23175018028863
0.0,35,269.83991717525157,-84.06825058203725
0.0,36,269.80254257422746,-88.0423174749788
0.0,37,86.27154769598599,-89.92568990282804
0.0,38,87.7682033063967,-89.57048531571493
0.0,39,279.21288690210196,-89.8332480907249
0.0,40,272.9109193797136,-89.35626691471153
0.0,41,23.3780658008754,-89.96301724956466
0.0,42,89.26842358950557,-87.55935021733896
0.0,43,89.78360467890157,-83.18577986577863
0.0,44,89.9164571591572,-76.99241602336035
0.0,45,89.96767723591182,-69.24551673009147
0.0,46,89.9915760894909,-60.24006381956799
0.0,47,90.00423716083586,-50.25036366880087
0.0,48,90.01174723173324,-39.515436745044006
0.0,49,90.01680115093863,-28.240142301077082
30.0,0,81.4292808371291,-14.514093980285363
30.0,1,87.53300154237361,-4.164985721372224
30.0,2,93.5033954783511,6.1224233700017185
30.0,3,99.65854905986592,16.198628377680247
30.0,4,106.33379354573582,25.944153115620097
30.0,5,113.90285333085727,35.02775330776189
30.0,6,122.75916539322549,43.110889578736355
30.0,7,133.18670792651608,49.81943737326934
30.0,8,145.03158541883337,54.81040233034319
30.0,9,157.28893047340446,57.94202173415904
30.0,10,168.18064840884728,59.45713492400465
30.0,11,176.0353661243774,59.94194384675531
30.0,12,180.1264305076543,60.012851835853915
30.0,13,180.86123939553212,60.021963362157464
30.0,14,179.68089522022774,60.034363979266445
30.0,15,178.71201056251655,60.03454442396509
30.0,16,180.0019480972488,60.04215657444164
30.0,17,184.81641582665182,59.95173777240906
30.0,18,193.36126735256468,59.34942484626297
30.0,19,204.70398595948393,57.59304794899118
30.0,20,217.06271941316905,54.137794700719205
30.0,21,228.74044348987144,48.8174014949378
30.0,22,238.90257577185542,41.82872941781075
30.0,23,247.51192457716328,33.53255299635694
30.0,24,254.89488919990222,24.300165703308448
30.0,25,261.4494801717797,14.463712980728959
30.0,26,267.5435592796591,4.375775825190009
30.0,27,273.5076541433874,-6.106631879395476
30.0,28,279.65956269797937,-16.266484602284994
30.0,29,286.33499801262064,-26.03375317515204
30.0,30,293.90882270672176,-35.124984815931484
30.0,31,302.77621325659976,-43.20828660351396
30.0,32,313.22222978744765,-49.91039071408774
30.0,33,325.08998660896793,-54.88784622549095
30.0,34,337.3642546999065,-57.99936306467805
30.0,35,348.25477640743674,-59.490409585940576
30.0,36,356.0882360216584,-59.95024403725985
30.0,37,0.14829142161689995,-59.99653804065238
