latitude,step,azimuth,altitude
0.0,0,187.82660533775592,-70.28517416548044
0.0,1,197.47204795096127,-70.74080384228483
0.0,2,207.30180071153296,-70.67590747453535
0.0,3,216.8260342246214,-70.0955065436626
0.0,4,225.64418515360487,-69.03980487455556
0.0,5,233.51938767621877,-67.57470927732733
0.0,6,240.38624276623878,-65.77481063546608
0.0,7,246.2996954489565,-63.707556016479366
0.0,8,251.36838186455788,-61.433415880288024
0.0,9,255.7209550488692,-59.00019957129617
0.0,10,259.48148019796105,-56.44325779333048
0.0,11,262.7580568305404,-53.7881349542731
0.0,12,265.64016747575516,-51.05321245736372
0.0,13,268.2001381668792,-48.25165476777546
0.0,14,270.4951046309649,-45.39471748797352
0.0,15,272.56957528434714,-42.49326811560096
0.0,16,274.4586690330963,-39.5583112540334
0.0,17,276.19172874856656,-36.599236771939196
0.0,18,277.7936841770352,-33.61942293406361
0.0,19,279.2863598343028,-30.624135454839134
0.0,20,280.68828541717346,-27.61461509906013
0.0,21,282.01533678004,-24.590839701554675
0.0,22,283.28092390519186,-21.552844224127714
0.0,23,284.49577184428125,-18.502502699097313
0.0,24,285.6682616597815,-15.444332142173776
0.0,25,286.8055122998929,-12.38360280260677
0.0,26,287.91439297701277,-9.32395815853141
0.0,27,289.0017739109876,-6.267325005513491
0.0,28,290.0746050121783,-2.7812079452350296
0.0,29,291.1399454864212,0.3377615611666632
0.0,30,292.20500316838314,3.1191018186310453
0.0,31,293.2765659458596,6.081448940066636
0.0,32,294.36054993963177,9.091881724260173
0.0,33,295.46227978818837,12.114893938514124
0.0,34,296.587426759217,15.13669713573256
0.0,35,297.74257969925713,18.15064761911713
0.0,36,298.9354542314068,21.153215655928825
0.0,37,300.1753900080367,24.143545080949114
0.0,38,301.4736657031627,27.12238487257689
0.0,39,302.8434050086997,30.090434623203315
0.0,40,304.298865417553,33.04587432215295
0.0,41,305.8553250235338,35.98366852955438
0.0,42,307.53020080641863,38.8972842265121
0.0,43,309.3445558410441,41.78014935154183
0.0,44,311.3242975317531,44.625788937732494
0.0,45,313.50186493686346,47.42790969841709
0.0,46,315.91875576087926,50.180500075221445
0.0,47,318.6275012454439,52.87625623696131
0.0,48,321.6926394204547,55.503842470206976
0.0,49,325.1905625077338,58.04525465258648
0.0,50,329.2103765435181,60.475526479648636
0.0,51,333.85450196835626,62.76290589361713
0.0,52,339.23488564328653,64.86812455183843
0.0,53,345.4598416623836,66.74318993881866
0.0,54,352.61014529888416,68.33162220013276
0.0,55,0.6964506724152791,69.5701373506503
0.0,56,9.603372548743046,70.39430499502258
0.0,57,19.045801465977366,70.75038989658283
0.0,58,28.595206544887517,70.61154789594228
0.0,59,37.78906700289012,69.9881146816949
0.0,60,46.26150583641341,68.92459840821897
0.0,61,53.814304363181975,67.48584060202724
0.0,62,60.40707780291309,65.74103654818845
0.0,63,66.1043566734574,63.75200203385466
0.0,64,71.0184766411252,61.5683417542688
0.0,65,75.26923780364257,59.229019158728654
0.0,66,78.96531632756663,56.765702904559674
0.0,67,82.20008077258929,54.20429879240267
0.0,68,85.05163062608165,51.56609306079874
0.0,69,87.58466143369766,48.868468770450754
0.0,70,89.85266250224149,46.124966297383416
0.0,71,91.90069378777734,43.34471496734326
0.0,72,93.76696052742605,40.53220421847939
0.0,73,95.48284274572966,37.68960835168189
0.0,74,97.07320765523875,34.8197643889314
0.0,75,98.55767754211432,31.926481085184342
0.0,76,99.95212068065933,29.01441700581921
0.0,77,101.26960317783468,26.08876817457423
0.0,78,102.52123278279885,23.15476514435962
0.0,79,103.7170715721768,20.216309816272343
0.0,80,104.8669947993816,17.273954151664633
0.0,81,105.98049206155858,14.326928904817972
0.0,82,107.06599667424192,11.375498405694948
0.0,83,108.13062053542714,8.42393222237389
0.0,84,109.1804811119041,5.485205066482297
0.0,85,110.2209051937167,2.6004048610742667
0.0,86,111.25665629499895,-0.07128943158849232
0.0,87,112.29243043709215,-3.3445945872223
0.0,88,113.33370127975658,-6.628043695785094
0.0,89,114.38710965586783,-9.614136956755791
0.0,90,115.4599659057957,-12.601039242269866
0.0,91,116.55978928695181,-15.589996689670183
0.0,92,117.69420073407362,-18.580513995817444
0.0,93,118.87108203419797,-21.570441305217887
0.0,94,120.09857354858929,-24.555776061074855
0.0,95,121.38551339403416,-27.531460794054805
0.0,96,122.74247362018748,-30.49318007609043
0.0,97,124.18324581392999,-33.43925631872695
0.0,98,125.72530638145993,-36.369547206695046
0.0,99,127.38963486504848,-39.28304368554014
0.0,100,129.20135473950972,-42.1772069998442
0.0,101,131.1902476450621,-45.0468595259132
0.0,102,133.391660396501,-47.88372867472022
0.0,103,135.84754255417684,-50.67603914097242
0.0,104,138.6091475433921,-53.40957787041268
0.0,105,141.74156073346867,-56.069039073660726
0.0,106,145.32825913588178,-58.63729577752793
0.0,107,149.47290170465973,-61.091996637686094
0.0,108,154.29932627157632,-63.40252791182094
0.0,109,159.9454670380787,-65.52698487497248
0.0,110,166.54383790993094,-67.40975221219215
0.0,111,174.18220265682217,-68.98158897607237
0.0,112,182.83896375932127,-70.16478550884405
30.0,1,333.6046941855681,-77.12843675377849
30.0,2,325.0499373025913,-74.63546490647613
30.0,3,318.9225167031759,-71.90607352933249
30.0,4,314.3826622543477,-69.02891638713908
30.0,5,310.9058472007951,-66.05513615081507
30.0,6,308.1645237761505,-63.01692711162426
30.0,7,305.9429676743596,-59.93408265337858
30.0,8,304.10251520798795,-56.82231155333342
30.0,9,302.54746838089693,-53.691470240255605
30.0,10,301.20973606366107,-50.54652989444834
30.0,11,300.04012609165005,-47.38937264925769
30.0,12,299.0025127267666,-44.220263149896645
30.0,13,298.0698452838393,-41.03870760755356
