latitude,step,azimuth,altitude
0.0,0,265.75260958659504,32.417676074941745
0.0,1,264.17274551148506,32.71254754048004
0.0,2,262.58444367922476,33.01130915252261
0.0,3,260.9901740581063,33.31706436273995
0.0,4,259.39259487747483,33.63119235591316
0.0,5,257.79424981317317,33.95667334919471
0.0,6,256.1976031298139,34.29606156151157
0.0,7,254.60510043618174,34.65222903264976
0.0,8,253.01932914669644,35.0271708461152
0.0,9,251.4426485807858,35.42394110852675
0.0,10,249.87766790153805,35.844493393543935
0.0,11,248.32681960428914,36.29119055302573
0.0,12,246.7925410674755,36.766458521416
0.0,13,245.27725006260562,37.272697801743526
0.0,14,243.78381490283803,37.81075923931224
0.0,15,242.31459712856787,38.38303459629116
0.0,16,240.87208047886423,38.99127412227977
0.0,17,239.4590565986727,39.63647491329868
0.0,18,238.0779662908692,40.32033310560185
0.0,19,236.73168937551543,41.04337226347425
0.0,20,235.4226424590189,41.80692189442392
0.0,21,234.15412769629089,42.61067392398916
0.0,22,232.92870966962133,43.4554193880763
0.0,23,231.74959534405454,44.34087365350581
0.0,24,230.61958729891404,45.267175034165405
0.0,25,229.54204942590906,46.23367100819093
0.0,26,228.52008410676888,47.23995026389026
0.0,27,227.55781916032035,48.284458819057626
0.0,28,226.65837017587936,49.36671781165209
0.0,29,225.8262596351612,50.48489130016608
0.0,30,225.06618267192806,51.63717187892076
0.0,31,224.38273992420318,52.8219503234733
0.0,32,223.78060443534574,54.03769479381099
0.0,33,223.26567666077912,55.28215804271217
0.0,34,222.84442237400006,56.55298586016185
0.0,35,222.52488254768227,57.84724069409064
0.0,36,222.31553077585434,59.1622070637173
0.0,37,222.2261006241069,60.49504099564803
0.0,38,222.26823324326458,61.84252367188051
0.0,39,222.45587159802122,63.20102924151048
0.0,40,222.80464214180844,64.56713846050904
0.0,41,223.3362179282472,65.93583703631109
0.0,42,224.07303553813975,67.30318949958095
0.0,43,225.04358685759013,68.66427483347931
0.0,44,226.28475613878115,70.01266900107927
0.0,45,227.8388231791929,71.34220884409719
0.0,46,229.7595786926737,72.64490741393577
0.0,47,232.1104439822013,73.91201411336749
0.0,48,234.972220236389,75.13141686841477
0.0,49,238.4349953560032,76.29013740234693
0.0,50,242.60292643784493,77.37114053366305
0.0,51,247.58209948284988,78.35392085130688
0.0,52,253.46067594296724,79.21454442410672
0.0,53,260.27784717073996,79.92509535025982
0.0,54,267.9732327898627,80.45815228216547
0.0,55,276.3481262007031,80.78943080069664
0.0,56,285.06221177613605,80.90530395384066
0.0,57,293.69789534275185,80.80697299048472
0.0,58,301.86871226960363,80.5109351880134
0.0,59,309.3101986203433,80.04538427424892
0.0,60,315.9034872756812,79.44304230468069
0.0,61,321.6495609584612,78.73626556098975
0.0,62,326.62076459996825,77.953748721273
0.0,63,330.91743704009565,77.11901230308148
