latitude,step,azimuth,altitude
0.0,0,272.8673835754707,53.63376230870209
0.0,1,275.17527284424483,67.89420638488387
0.0,2,285.67307191329576,81.98640945979538
0.0,3,70.41928345329971,83.01604404221669
0.0,4,83.0904945195727,68.97496770214808
0.0,5,85.54436003340896,54.731556712985565
0.0,6,86.54818092440719,40.461546167777286
0.0,7,87.06149157798582,26.18648387543065
0.0,8,87.3384931862958,11.93161780667179
0.0,9,87.46910324283473,-1.7733919689996187
0.0,10,87.48272098366894,-16.760633338004627
0.0,11,87.37073144936355,-31.080890835962098
0.0,12,87.0720774467245,-45.40950684541175
0.0,13,86.37854611410901,-59.74505019137983
0.0,14,84.2996019608435,-74.07753612547323
0.0,15,49.304655474292964,-88.04842180409018
0.0,16,274.29839326115507,-77.06583328828403
0.0,17,271.381051197564,-62.703493162395205
0.0,18,270.4419595584548,-48.30634015891066
0.0,19,269.9385848102132,-33.89132211996036
0.0,20,269.5803798544622,-19.46203440267494
0.0,21,269.2631098588769,-5.02034545591835
0.0,22,268.9251389037757,9.525701515747754
0.0,23,268.502999893894,23.930030616538122
0.0,24,267.89092886307327,38.379746231136565
0.0,25,266.8379279721104,52.83576600308569
0.0,26,264.4718739539326,67.27304904933168
0.0,27,254.02711684122346,81.54411526487613
0.0,28,111.20758330026155,83.17237615031098
0.0,29,97.17232251963223,68.97526956320092
0.0,30,94.52750710828889,54.53651075075269
0.0,31,93.44627422291903,40.07012402063039
0.0,32,92.8857723450772,25.604334928853607
0.0,33,92.57111912015608,11.171421425097554
0.0,34,92.40352616889687,-3.0116021845774785
0.0,35,92.34709214366816,-17.849321596544986
0.0,36,92.40232953269464,-32.305627058055805
0.0,37,92.61554733471411,-46.750285830178136
0.0,38,93.16030964624392,-61.18080361397076
0.0,39,94.94081736109956,-75.58916420785546
0.0,40,183.04637500472464,-89.08558569072491
0.0,41,267.66341530956254,-75.54632684247746
0.0,42,269.49454531777917,-61.1773546880508
0.0,43,270.14499586158774,-46.811863367325685
0.0,44,270.521349613804,-32.45671782760774
0.0,45,270.8129651963571,-18.11286482503863
0.0,46,271.09441467255823,-3.5149516665661276
0.0,47,271.4166567828784,10.626026459886832
0.0,48,271.84038393253377,24.887665781530256
30.0,0,237.53397889790614,45.420430673535556
30.0,1,220.83087727722105,55.02555039252189
30.0,2,196.18743386981927,61.218689863654156
30.0,3,166.0410461909619,61.646999497321474
30.0,4,140.31283296149093,56.100569041403816
30.0,5,122.67607084935577,46.85112423566593
30.0,6,110.54295002279726,35.80299040735878
30.0,7,101.38807703035721,23.91051204654411
30.0,8,93.71029376422956,11.651880528977602
30.0,9,86.5861490684072,-0.24323123445728176
30.0,10,79.30985252689861,-13.221743154731584
30.0,11,71.1477065450204,-25.305818371079045
30.0,12,61.096184282972004,-36.78508687552845
30.0,13,47.58312495077021,-47.06830411488301
30.0,14,28.422679229124356,-55.003686693571375
30.0,15,2.848525114285798,-58.69736907121093
30.0,16,336.02096562565487,-56.68652613703708
30.0,17,314.71135646116454,-49.82481191437647
30.0,18,299.59514617481943,-40.099497385320056
30.0,19,288.51641247402824,-28.905509898653204
30.0,20,279.6657799597047,-16.978003208560917
30.0,21,271.87631924894004,-4.652924205773822
30.0,22,264.32610137338605,7.73647998487826
30.0,23,256.2751416413235,19.850048116400668
30.0,24,246.8335974369033,31.560856014594524
30.0,25,234.69487562632702,42.34429942138499
30.0,26,217.93863907300081,51.28451568652155
30.0,27,194.9488870584225,56.76788555009154
30.0,28,168.26569537601054,56.97780478790569
30.0,29,144.84092234886631,51.81876011528934
30.0,30,127.68362330782914,43.044766357907136
30.0,31,115.32583920929481,32.31824773632344
30.0,32,105.81349443963073,20.596488853953314
30.0,33,97.80248837864985,8.417319998656776
30.0,34,90.38925306218752,-3.9427400140199533
30.0,35,82.84016402936427,-16.55579849594774
30.0,36,74.35411535792372,-28.72185884989587
30.0,37,63.78097229946421,-40.273381438839166
30.0,38,49.22925371298135,-50.53959235168363
30.0,39,28.032847791508992,-58.15814381799727
30.0,40,359.8999433981843,-60.914693805166266
30.0,41,332.3156567418331,-57.53470108770599
30.0,42,312.0182645683037,-49.541610526244895
30.0,43,298.13870290177874,-39.092379943117606
30.0,44,288.04894666964753,-27.447341246600654
30.0,45,279.9721044809909,-15.218657668860086
30.0,46,272.83718420683743,-2.125189417390291
30.0,47,265.89988003622847,9.911944884977293
30.0,48,258.4749716289019,22.28306970175228
60.0,0,220.95778566710183,25.38928609142979
60.0,1,205.51653531476714,29.54017253267638
60.0,2,189.0942503733301,31.876761817552662
60.0,3,172.224894614925,32.1364805770328
60.0,4,155.63817566558876,30.296162411329966
60.0,5,139.93136356846153,26.58383333862119
60.0,6,125.35137882286293,21.387459213624492
60.0,7,111.81126780950213,15.14223144338453
60.0,8,99.02349779153768,8.273135779250111
60.0,9,86.61652882778186,1.3243708396834324
60.0,10,74.19835169075574,-6.188244761023428
60.0,11,61.388376008745446,-12.951800785981057
60.0,12,47.85027569119796,-18.968650248838156
60.0,13,33.35414674601347,-23.85183037305731
60.0,14,17.87595186245712,-27.21040534808297
60.0,15,1.6871782794219914,-28.7194811238792
60.0,16,345.32635740157315,-28.21792230362567
60.0,17,329.3951391356152,-25.771901861407784
60.0,18,314.30515905649963,-21.650775815870063
60.0,19,300.16345647101366,-16.23708538160595
60.0,20,286.82136455964195,-9.939067497517222
60.0,21,273.9815874406169,-2.6885050304211346
60.0,22,261.28317000305077,3.971623961005165
60.0,23,248.35233212990752,10.559617210786625
60.0,24,234.84187421722666,16.629437051363585
60.0,25,220.48797873376267,21.725111401989924
60.0,26,205.20074034143843,25.43089047331102
60.0,27,189.16091093364753,27.384621422844937
60.0,28,172.83119202993743,27.364626608878254
60.0,29,156.80049327540826,25.365977664987756
60.0,30,141.53404794589915,21.601337130627375
60.0,31,127.21564596234576,16.425762260713366
60.0,32,113.75685198545038,10.250291775946488
60.0,33,100.8925008412162,3.537345391282291
60.0,34,88.2698311879218,-3.505207827577687
60.0,35,75.50296190876037,-10.780447188989355
60.0,36,62.20873288190066,-17.33339909450432
60.0,37,48.054916731294924,-23.035486604603097
60.0,38,32.84984950895178,-27.459802946319844
60.0,39,16.670340074277657,-30.19020012162984
60.0,40,359.94334111489513,-30.915911312559068
60.0,41,343.34200343778105,-29.539837780832585
60.0,42,327.4947714965011,-26.217497849261672
60.0,43,312.7318545753313,-21.29011469563169
60.0,44,299.0440601207719,-15.171774535998374
60.0,45,286.1905687701478,-8.267524920528198
60.0,46,273.8179879159365,-0.31663341986021715
60.0,47,261.5315324297854,6.589020513873094
60.0,48,248.92787467309353,13.678391843920455
89.9,0,216.3441716865121,2.070531788061942
89.9,1,202.03118874178557,2.3110559131315975
89.9,2,187.72165468978812,2.51717799774924
89.9,3,173.41422074694583,2.6845609380431266
89.9,4,159.10762157569044,2.8099411115667046
89.9,5,144.80067647508884,2.8911561870655236
89.9,6,130.4922714050659,2.927142589062364
89.9,7,116.18134633922288,2.917905679574132
89.9,8,101.86686331948083,2.8644657478588416
89.9,9,87.54780046634271,2.768783220953881
89.9,10,73.22312956102598,2.633667149025333
89.9,11,58.89181870933032,2.4626715405629653
89.9,12,44.55283748800113,2.2599839097127066
89.9,13,30.205168781880726,2.0303095767077677
89.9,14,15.847834183377111,1.7787534676562442
89.9,15,1.4799252040405655,1.5106973411559477
89.9,16,347.1006258571041,1.231664191357569
89.9,17,332.70926978876224,0.9471542155950885
89.9,18,318.3053406321539,0.6624228772557057
89.9,19,303.88854123465967,0.38217118519552673
89.9,20,289.45879097546884,0.11012341249426627
89.9,21,275.0162576423505,-0.15145835595906668
89.9,22,260.5613767368174,-0.40212644027799915
89.9,23,246.09484190550003,-0.6430657540672704
89.9,24,231.61762199268935,-0.8759508037336844
89.9,25,217.1309371555794,-1.1009219276604543
89.9,26,202.63625004604853,-1.3147000715237016
89.9,27,188.13524121973592,-1.510220472252206
89.9,28,173.6297782684253,-1.6781279748656823
89.9,29,159.12188103957135,-1.8090380424138963
89.9,30,144.61367539253655,-1.8952401929584113
89.9,31,130.1073477719746,-1.9314176921105426
89.9,32,115.60508686495265,-1.9147654544668766
89.9,33,101.1090305815286,-1.8450527151992744
89.9,34,86.62119804754131,-1.7249175918452153
89.9,35,72.14343245774556,-1.5602495180294582
89.9,36,57.677352031503865,-1.3600202700247246
89.9,37,43.224284244185334,-1.134713053112057
89.9,38,28.785232347696677,-0.8933017672858468
89.9,39,14.360839973317217,-0.6404769359973643
89.9,40,359.9513806932956,-0.37640274572313337
89.9,41,345.5567536461308,-0.09918434873647576
89.9,42,331.17649773268585,0.19212810055476556
89.9,43,316.80982359849094,0.49592354787633486
89.9,44,302.4556767518291,0.8079865543514
89.9,45,288.11276167145525,1.1222493907158397
89.9,46,273.7796287728043,1.4316546709433504
89.9,47,259.4547244892616,1.728844410322993
89.9,48,245.1364681640764,2.0066396413982326
